City,Suburb_Name,Median1Q2024
ADELAIDE,ADELAIDE,1345000
ADELAIDE,NORTH ADELAIDE,1675000
ADELAIDE HILLS,ALDGATE,1180000
ADELAIDE HILLS,ASHTON,
ADELAIDE HILLS,BALHANNAH,801000
ADELAIDE HILLS,BASKET RANGE,
ADELAIDE HILLS,BELAIR,1168500
ADELAIDE HILLS,BIRDWOOD,585000
ADELAIDE HILLS,BRADBURY,
ADELAIDE HILLS,BRIDGEWATER,782500
ADELAIDE HILLS,CAREY GULLY,
ADELAIDE HILLS,CASTAMBUL,
ADELAIDE HILLS,CHARLESTON,1140000
ADELAIDE HILLS,CHERRYVILLE,
ADELAIDE HILLS,CLELAND,
ADELAIDE HILLS,CRAFERS,1309000
ADELAIDE HILLS,CRAFERS WEST,1547500
ADELAIDE HILLS,DORSET VALE,
ADELAIDE HILLS,GREENHILL,895000
ADELAIDE HILLS,GUMERACHA,755000
ADELAIDE HILLS,HEATHFIELD,1367500
ADELAIDE HILLS,HORSNELL GULLY,
ADELAIDE HILLS,HUMBUG SCRUB,
ADELAIDE HILLS,IRONBANK,480000
ADELAIDE HILLS,KERSBROOK,840000
ADELAIDE HILLS,LENSWOOD,825000
ADELAIDE HILLS,LOBETHAL,645000
ADELAIDE HILLS,LONGWOOD,
ADELAIDE HILLS,MARBLE HILL,
ADELAIDE HILLS,MONTACUTE,
ADELAIDE HILLS,MOUNT GEORGE,1050000
ADELAIDE HILLS,MYLOR,1235000
ADELAIDE HILLS,NORTON SUMMIT,
ADELAIDE HILLS,OAKBANK,1146250
ADELAIDE HILLS,PICCADILLY,
ADELAIDE HILLS,ROSTREVOR,985000
ADELAIDE HILLS,SCOTT CREEK,
ADELAIDE HILLS,STIRLING,1325000
ADELAIDE HILLS,SUMMERTOWN,1050000
ADELAIDE HILLS,TERINGIE,
ADELAIDE HILLS,UPPER STURT,1250000
ADELAIDE HILLS,URAIDLA,
ADELAIDE HILLS,WATERFALL GULLY,
ADELAIDE HILLS,WOODFORDE,621000
ADELAIDE HILLS,WOODSIDE,882500
BURNSIDE,AULDANA,2000000
BURNSIDE,BEAUMONT,2010000
BURNSIDE,BEULAH PARK,1362000
BURNSIDE,BURNSIDE,1680000
BURNSIDE,DULWICH,1737500
BURNSIDE,EASTWOOD,1240000
BURNSIDE,ERINDALE,1728000
BURNSIDE,FREWVILLE,
BURNSIDE,GLEN OSMOND,1105000
BURNSIDE,GLENSIDE,1737000
BURNSIDE,GLENUNGA,1600000
BURNSIDE,HAZELWOOD PARK,1850000
BURNSIDE,HORSNELL GULLY,
BURNSIDE,KENSINGTON GARDENS,1375000
BURNSIDE,KENSINGTON PARK,1490000
BURNSIDE,LEABROOK,
BURNSIDE,LEAWOOD GARDENS,
BURNSIDE,LINDEN PARK,1615000
BURNSIDE,MAGILL,1055000
BURNSIDE,MOUNT OSMOND,
BURNSIDE,ROSE PARK,3311111
BURNSIDE,ROSSLYN PARK,2270000
BURNSIDE,SKYE,1250000
BURNSIDE,ST GEORGES,2417500
BURNSIDE,STONYFELL,1665000
BURNSIDE,TOORAK GARDENS,3275800
BURNSIDE,TUSMORE,1760000
BURNSIDE,WATERFALL GULLY,
BURNSIDE,WATTLE PARK,1340000
CAMPBELLTOWN,ATHELSTONE,800000
CAMPBELLTOWN,CAMPBELLTOWN,899000
CAMPBELLTOWN,HECTORVILLE,900000
CAMPBELLTOWN,MAGILL,1055000
CAMPBELLTOWN,NEWTON,817750
CAMPBELLTOWN,PARADISE,840000
CAMPBELLTOWN,ROSTREVOR,985000
CAMPBELLTOWN,TRANMERE,1280000
CHARLES STURT,ALBERT PARK,675500
CHARLES STURT,ALLENBY GARDENS,990099
CHARLES STURT,ATHOL PARK,696500
CHARLES STURT,BEVERLEY,850000
CHARLES STURT,BOWDEN,942500
CHARLES STURT,BROMPTON,930000
CHARLES STURT,CHELTENHAM,876750
CHARLES STURT,CROYDON,1020000
CHARLES STURT,DEVON PARK,805000
CHARLES STURT,FINDON,818000
CHARLES STURT,FLINDERS PARK,930000
CHARLES STURT,FULHAM GARDENS,1175000
CHARLES STURT,GRANGE,1235000
CHARLES STURT,HENDON,637500
CHARLES STURT,HENLEY BEACH,1625000
CHARLES STURT,HENLEY BEACH SOUTH,1260000
CHARLES STURT,HINDMARSH,
CHARLES STURT,KIDMAN PARK,1112500
CHARLES STURT,KILKENNY,1525000
CHARLES STURT,OVINGHAM,1270000
CHARLES STURT,PENNINGTON,715750
CHARLES STURT,RENOWN PARK,645000
CHARLES STURT,RIDLEYTON,830000
CHARLES STURT,ROYAL PARK,678000
CHARLES STURT,SEATON,862000
CHARLES STURT,SEMAPHORE PARK,1015000
CHARLES STURT,ST CLAIR,945550
CHARLES STURT,TENNYSON,3425000
CHARLES STURT,WELLAND,
CHARLES STURT,WEST BEACH,1290000
CHARLES STURT,WEST CROYDON,1168750
CHARLES STURT,WEST HINDMARSH,982500
CHARLES STURT,WEST LAKES,1270000
CHARLES STURT,WEST LAKES SHORE,1105000
CHARLES STURT,WOODVILLE,800000
CHARLES STURT,WOODVILLE NORTH,750000
CHARLES STURT,WOODVILLE PARK,875000
CHARLES STURT,WOODVILLE SOUTH,905000
CHARLES STURT,WOODVILLE WEST,775000
GAWLER,BIBARINGA,
GAWLER,EVANSTON,506500
GAWLER,EVANSTON GARDENS,510000
GAWLER,EVANSTON PARK,573500
GAWLER,EVANSTON SOUTH,615000
GAWLER,GAWLER,475000
GAWLER,GAWLER EAST,617500
GAWLER,GAWLER SOUTH,633500
GAWLER,GAWLER WEST,425000
GAWLER,HILLIER,535000
GAWLER,KUDLA,
GAWLER,REID,610000
GAWLER,ULEYBURY,
GAWLER,WILLASTON,530000
HOLDFAST BAY,BRIGHTON,1455000
HOLDFAST BAY,GLENELG,2600000
HOLDFAST BAY,GLENELG EAST,1677500
HOLDFAST BAY,GLENELG NORTH,1378000
HOLDFAST BAY,GLENELG SOUTH,2325000
HOLDFAST BAY,HOVE,1150000
HOLDFAST BAY,KINGSTON PARK,
HOLDFAST BAY,NORTH BRIGHTON,1325000
HOLDFAST BAY,SEACLIFF,1057500
HOLDFAST BAY,SEACLIFF PARK,934500
HOLDFAST BAY,SOMERTON PARK,2040000
HOLDFAST BAY,SOUTH BRIGHTON,1405000
MARION,ASCOT PARK,803000
MARION,BEDFORD PARK,735000
MARION,CLOVELLY PARK,786000
MARION,DARLINGTON,982500
MARION,DOVER GARDENS,785000
MARION,EDWARDSTOWN,840000
MARION,GLANDORE,1240000
MARION,GLENGOWRIE,1135000
MARION,HALLETT COVE,775000
MARION,LONSDALE,2550000
MARION,MARINO,1350000
MARION,MARION,875000
MARION,MITCHELL PARK,806000
MARION,MORPHETTVILLE,953000
MARION,OAKLANDS PARK,812000
MARION,O'HALLORAN HILL,727000
MARION,PARK HOLME,834125
MARION,PLYMPTON PARK,969250
MARION,SEACLIFF PARK,934500
MARION,SEACOMBE GARDENS,745000
MARION,SEACOMBE HEIGHTS,915000
MARION,SEAVIEW DOWNS,985750
MARION,SHEIDOW PARK,817500
MARION,SOUTH PLYMPTON,930000
MARION,STURT,838500
MARION,TONSLEY,714000
MARION,TROTT PARK,740000
MARION,WARRADALE,952500
MITCHAM,BEDFORD PARK,735000
MITCHAM,BELAIR,1168500
MITCHAM,BELLEVUE HEIGHTS,917500
MITCHAM,BLACKWOOD,895000
MITCHAM,BROWN HILL CREEK,
MITCHAM,CLAPHAM,1034000
MITCHAM,CLARENCE GARDENS,1180000
MITCHAM,COLONEL LIGHT GARDENS,825000
MITCHAM,COROMANDEL VALLEY,877500
MITCHAM,CRAFERS WEST,1547500
MITCHAM,CRAIGBURN FARM,1250000
MITCHAM,CUMBERLAND PARK,1455000
MITCHAM,DAW PARK,925000
MITCHAM,EDEN HILLS,775000
MITCHAM,GLENALTA,990000
MITCHAM,HAWTHORN,1849995
MITCHAM,HAWTHORNDENE,855000
MITCHAM,KINGSWOOD,2695000
MITCHAM,LEAWOOD GARDENS,
MITCHAM,LOWER MITCHAM,1496000
MITCHAM,LYNTON,
MITCHAM,MELROSE PARK,940000
MITCHAM,MITCHAM,1613000
MITCHAM,NETHERBY,1400000
MITCHAM,PANORAMA,980000
MITCHAM,PASADENA,900000
MITCHAM,SPRINGFIELD,2250000
MITCHAM,ST MARYS,912500
MITCHAM,TORRENS PARK,1320500
MITCHAM,UPPER STURT,1250000
MITCHAM,URRBRAE,1530000
MITCHAM,WESTBOURNE PARK,1437500
NORWOOD PAYNEHAM & ST PETERS,COLLEGE PARK,2260000
NORWOOD PAYNEHAM & ST PETERS,EVANDALE,1245000
NORWOOD PAYNEHAM & ST PETERS,FELIXSTOW,1000000
NORWOOD PAYNEHAM & ST PETERS,FIRLE,1030000
NORWOOD PAYNEHAM & ST PETERS,GLYNDE,1300000
NORWOOD PAYNEHAM & ST PETERS,HACKNEY,
NORWOOD PAYNEHAM & ST PETERS,HEATHPOOL,
NORWOOD PAYNEHAM & ST PETERS,JOSLIN,2000000
NORWOOD PAYNEHAM & ST PETERS,KENSINGTON,1166667
NORWOOD PAYNEHAM & ST PETERS,KENT TOWN,1100000
NORWOOD PAYNEHAM & ST PETERS,MARDEN,1240000
NORWOOD PAYNEHAM & ST PETERS,MARRYATVILLE,1251000
NORWOOD PAYNEHAM & ST PETERS,MAYLANDS,1375000
NORWOOD PAYNEHAM & ST PETERS,NORWOOD,1550000
NORWOOD PAYNEHAM & ST PETERS,PAYNEHAM,1148000
NORWOOD PAYNEHAM & ST PETERS,PAYNEHAM SOUTH,1107500
NORWOOD PAYNEHAM & ST PETERS,ROYSTON PARK,2135000
NORWOOD PAYNEHAM & ST PETERS,ST MORRIS,1440000
NORWOOD PAYNEHAM & ST PETERS,ST PETERS,2235000
NORWOOD PAYNEHAM & ST PETERS,STEPNEY,1427500
NORWOOD PAYNEHAM & ST PETERS,TRINITY GARDENS,1450000
ONKAPARINGA,ABERFOYLE PARK,733750
ONKAPARINGA,ALDINGA,877200
ONKAPARINGA,ALDINGA BEACH,660000
ONKAPARINGA,BLEWITT SPRINGS,
ONKAPARINGA,CHANDLERS HILL,
ONKAPARINGA,CHERRY GARDENS,
ONKAPARINGA,CHRISTIE DOWNS,540000
ONKAPARINGA,CHRISTIES BEACH,681500
ONKAPARINGA,CLARENDON,
ONKAPARINGA,COROMANDEL EAST,
ONKAPARINGA,COROMANDEL VALLEY,877500
ONKAPARINGA,CRAIGBURN FARM,1250000
ONKAPARINGA,DARLINGTON,982500
ONKAPARINGA,DORSET VALE,
ONKAPARINGA,FLAGSTAFF HILL,834000
ONKAPARINGA,HACKHAM,576000
ONKAPARINGA,HACKHAM WEST,566000
ONKAPARINGA,HALLETT COVE,775000
ONKAPARINGA,HAPPY VALLEY,715000
ONKAPARINGA,HUNTFIELD HEIGHTS,561000
ONKAPARINGA,IRONBANK,480000
ONKAPARINGA,KANGARILLA,
ONKAPARINGA,LONSDALE,2550000
ONKAPARINGA,MASLIN BEACH,910000
ONKAPARINGA,MCLAREN FLAT,842500
ONKAPARINGA,MCLAREN VALE,815000
ONKAPARINGA,MOANA,760000
ONKAPARINGA,MORPHETT VALE,600000
ONKAPARINGA,NOARLUNGA CENTRE,
ONKAPARINGA,NOARLUNGA DOWNS,658000
ONKAPARINGA,O'HALLORAN HILL,727000
ONKAPARINGA,OLD NOARLUNGA,608000
ONKAPARINGA,OLD REYNELLA,652500
ONKAPARINGA,ONKAPARINGA HEIGHTS,635000
ONKAPARINGA,ONKAPARINGA HILLS,797500
ONKAPARINGA,O'SULLIVAN BEACH,570000
ONKAPARINGA,PORT NOARLUNGA,905000
ONKAPARINGA,PORT NOARLUNGA SOUTH,767500
ONKAPARINGA,PORT WILLUNGA,698000
ONKAPARINGA,REYNELLA,628000
ONKAPARINGA,REYNELLA EAST,642500
ONKAPARINGA,SEAFORD,663500
ONKAPARINGA,SEAFORD HEIGHTS,700000
ONKAPARINGA,SEAFORD MEADOWS,678000
ONKAPARINGA,SEAFORD RISE,723500
ONKAPARINGA,SELLICKS BEACH,655000
ONKAPARINGA,SELLICKS HILL,
ONKAPARINGA,TATACHILLA,
ONKAPARINGA,THE RANGE,
ONKAPARINGA,WHITES VALLEY,
ONKAPARINGA,WILLUNGA,970000
ONKAPARINGA,WILLUNGA SOUTH,
ONKAPARINGA,WOODCROFT,748750
PLAYFORD,ANDREWS FARM,522500
PLAYFORD,ANGLE VALE,738500
PLAYFORD,BIBARINGA,
PLAYFORD,BLAKEVIEW,552000
PLAYFORD,BUCKLAND PARK,
PLAYFORD,CRAIGMORE,513500
PLAYFORD,DAVOREN PARK,450000
PLAYFORD,EDINBURGH,
PLAYFORD,EDINBURGH NORTH,
PLAYFORD,ELIZABETH,550000
PLAYFORD,ELIZABETH DOWNS,472500
PLAYFORD,ELIZABETH EAST,491000
PLAYFORD,ELIZABETH GROVE,449000
PLAYFORD,ELIZABETH NORTH,455000
PLAYFORD,ELIZABETH PARK,497500
PLAYFORD,ELIZABETH SOUTH,456000
PLAYFORD,ELIZABETH VALE,485503
PLAYFORD,EVANSTON PARK,573500
PLAYFORD,EYRE,490000
PLAYFORD,GOULD CREEK,
PLAYFORD,HILLBANK,648000
PLAYFORD,HILLIER,535000
PLAYFORD,HUMBUG SCRUB,
PLAYFORD,MACDONALD PARK,
PLAYFORD,MUNNO PARA,551000
PLAYFORD,MUNNO PARA DOWNS,
PLAYFORD,MUNNO PARA WEST,550000
PLAYFORD,ONE TREE HILL,860000
PLAYFORD,PENFIELD,
PLAYFORD,PENFIELD GARDENS,
PLAYFORD,RIVERLEA PARK,735000
PLAYFORD,SAMPSON FLAT,
PLAYFORD,SMITHFIELD,470000
PLAYFORD,SMITHFIELD PLAINS,475000
PLAYFORD,ULEYBURY,
PLAYFORD,VIRGINIA,847500
PLAYFORD,WATERLOO CORNER,
PLAYFORD,YATTALUNGA,
PORT ADELAIDE ENFIELD,ALBERTON,646250
PORT ADELAIDE ENFIELD,ANGLE PARK,630000
PORT ADELAIDE ENFIELD,BIRKENHEAD,770000
PORT ADELAIDE ENFIELD,BLAIR ATHOL,783000
PORT ADELAIDE ENFIELD,BROADVIEW,950000
PORT ADELAIDE ENFIELD,CLEARVIEW,735000
PORT ADELAIDE ENFIELD,CROYDON PARK,859000
PORT ADELAIDE ENFIELD,DERNANCOURT,800000
PORT ADELAIDE ENFIELD,DEVON PARK,805000
PORT ADELAIDE ENFIELD,DRY CREEK,669000
PORT ADELAIDE ENFIELD,DUDLEY PARK,715000
PORT ADELAIDE ENFIELD,ENFIELD,696500
PORT ADELAIDE ENFIELD,ETHELTON,595000
PORT ADELAIDE ENFIELD,EXETER,
PORT ADELAIDE ENFIELD,FERRYDEN PARK,710000
PORT ADELAIDE ENFIELD,GEPPS CROSS,658500
PORT ADELAIDE ENFIELD,GILLES PLAINS,770000
PORT ADELAIDE ENFIELD,GILLMAN,561000
PORT ADELAIDE ENFIELD,GLANVILLE,
PORT ADELAIDE ENFIELD,GREENACRES,840750
PORT ADELAIDE ENFIELD,HAMPSTEAD GARDENS,838000
PORT ADELAIDE ENFIELD,HILLCREST,725000
PORT ADELAIDE ENFIELD,HOLDEN HILL,695000
PORT ADELAIDE ENFIELD,KILBURN,720000
PORT ADELAIDE ENFIELD,KLEMZIG,830000
PORT ADELAIDE ENFIELD,LARGS BAY,930000
PORT ADELAIDE ENFIELD,LARGS NORTH,805000
PORT ADELAIDE ENFIELD,LIGHTSVIEW,634999
PORT ADELAIDE ENFIELD,MANNINGHAM,895000
PORT ADELAIDE ENFIELD,MANSFIELD PARK,670000
PORT ADELAIDE ENFIELD,NEW PORT,601550
PORT ADELAIDE ENFIELD,NORTH HAVEN,933000
PORT ADELAIDE ENFIELD,NORTHFIELD,820000
PORT ADELAIDE ENFIELD,NORTHGATE,935000
PORT ADELAIDE ENFIELD,OAKDEN,800000
PORT ADELAIDE ENFIELD,OSBORNE,696250
PORT ADELAIDE ENFIELD,OTTOWAY,670400
PORT ADELAIDE ENFIELD,OUTER HARBOR,
PORT ADELAIDE ENFIELD,PETERHEAD,709500
PORT ADELAIDE ENFIELD,PORT ADELAIDE,760000
PORT ADELAIDE ENFIELD,QUEENSTOWN,675000
PORT ADELAIDE ENFIELD,REGENCY PARK,650000
PORT ADELAIDE ENFIELD,ROSEWATER,650500
PORT ADELAIDE ENFIELD,SEFTON PARK,975000
PORT ADELAIDE ENFIELD,SEMAPHORE,816000
PORT ADELAIDE ENFIELD,SEMAPHORE SOUTH,1150000
PORT ADELAIDE ENFIELD,TAPEROO,676000
PORT ADELAIDE ENFIELD,VALLEY VIEW,703000
PORT ADELAIDE ENFIELD,WALKLEY HEIGHTS,815000
PORT ADELAIDE ENFIELD,WINDSOR GARDENS,792500
PORT ADELAIDE ENFIELD,WINGFIELD,480000
PORT ADELAIDE ENFIELD,WOODVILLE GARDENS,745000
PROSPECT,BROADVIEW,950000
PROSPECT,COLLINSWOOD,2725000
PROSPECT,FITZROY,1900000
PROSPECT,MEDINDIE GARDENS,
PROSPECT,NAILSWORTH,935000
PROSPECT,OVINGHAM,1270000
PROSPECT,PROSPECT,1262500
PROSPECT,SEFTON PARK,975000
PROSPECT,THORNGATE,
SALISBURY,BOLIVAR,
SALISBURY,BRAHMA LODGE,560000
SALISBURY,BURTON,571000
SALISBURY,CAVAN,
SALISBURY,DIREK,630000
SALISBURY,DRY CREEK,669000
SALISBURY,EDINBURGH,
SALISBURY,ELIZABETH VALE,485503
SALISBURY,GLOBE DERBY PARK,
SALISBURY,GREEN FIELDS,715000
SALISBURY,GULFVIEW HEIGHTS,890000
SALISBURY,INGLE FARM,650000
SALISBURY,MAWSON LAKES,715326
SALISBURY,MODBURY HEIGHTS,751250
SALISBURY,PARA HILLS,630000
SALISBURY,PARA HILLS WEST,605000
SALISBURY,PARA VISTA,649500
SALISBURY,PARAFIELD GARDENS,631000
SALISBURY,PARALOWIE,581000
SALISBURY,POORAKA,635000
SALISBURY,SALISBURY,612500
SALISBURY,SALISBURY DOWNS,602500
SALISBURY,SALISBURY EAST,600000
SALISBURY,SALISBURY HEIGHTS,677500
SALISBURY,SALISBURY NORTH,530000
SALISBURY,SALISBURY PARK,567750
SALISBURY,SALISBURY PLAIN,526000
SALISBURY,SALISBURY SOUTH,
SALISBURY,ST KILDA,399500
SALISBURY,VALLEY VIEW,703000
SALISBURY,WALKLEY HEIGHTS,815000
SALISBURY,WATERLOO CORNER,
TEA TREE GULLY,BANKSIA PARK,684000
TEA TREE GULLY,DERNANCOURT,800000
TEA TREE GULLY,FAIRVIEW PARK,709000
TEA TREE GULLY,GILLES PLAINS,770000
TEA TREE GULLY,GOLDEN GROVE,811000
TEA TREE GULLY,GOULD CREEK,
TEA TREE GULLY,GREENWITH,725000
TEA TREE GULLY,GULFVIEW HEIGHTS,890000
TEA TREE GULLY,HIGHBURY,805000
TEA TREE GULLY,HOLDEN HILL,695000
TEA TREE GULLY,HOPE VALLEY,661000
TEA TREE GULLY,MODBURY,734500
TEA TREE GULLY,MODBURY HEIGHTS,751250
TEA TREE GULLY,MODBURY NORTH,670000
TEA TREE GULLY,REDWOOD PARK,750250
TEA TREE GULLY,RIDGEHAVEN,650000
TEA TREE GULLY,ST AGNES,645000
TEA TREE GULLY,SURREY DOWNS,704000
TEA TREE GULLY,TEA TREE GULLY,701304
TEA TREE GULLY,VALLEY VIEW,703000
TEA TREE GULLY,VISTA,945500
TEA TREE GULLY,WYNN VALE,727000
TEA TREE GULLY,YATALA VALE,771250
UNLEY,BLACK FOREST,1515000
UNLEY,CLARENCE PARK,1236000
UNLEY,EVERARD PARK,
UNLEY,FORESTVILLE,1175000
UNLEY,FULLARTON,1604500
UNLEY,GOODWOOD,1800000
UNLEY,HIGHGATE,1385000
UNLEY,HYDE PARK,3137500
UNLEY,KESWICK,
UNLEY,KINGS PARK,
UNLEY,MALVERN,3130000
UNLEY,MILLSWOOD,2715000
UNLEY,MYRTLE BANK,1912500
UNLEY,PARKSIDE,1325000
UNLEY,UNLEY,1999000
UNLEY,UNLEY PARK,2405000
UNLEY,WAYVILLE,1450000
WALKERVILLE,GILBERTON,1755000
WALKERVILLE,MEDINDIE,
WALKERVILLE,VALE PARK,1235000
WALKERVILLE,WALKERVILLE,
WEST TORRENS,ADELAIDE AIRPORT,
WEST TORRENS,ASHFORD,
WEST TORRENS,BROOKLYN PARK,630000
WEST TORRENS,CAMDEN PARK,893000
WEST TORRENS,COWANDILLA,815000
WEST TORRENS,FULHAM,1494444
WEST TORRENS,GLANDORE,1240000
WEST TORRENS,GLENELG NORTH,1378000
WEST TORRENS,HILTON,
WEST TORRENS,KESWICK,
WEST TORRENS,KESWICK TERMINAL,
WEST TORRENS,KURRALTA PARK,960000
WEST TORRENS,LOCKLEYS,1105000
WEST TORRENS,MARLESTON,882500
WEST TORRENS,MILE END,1070000
WEST TORRENS,MILE END SOUTH,
WEST TORRENS,NETLEY,890000
WEST TORRENS,NORTH PLYMPTON,1053000
WEST TORRENS,NOVAR GARDENS,955000
WEST TORRENS,PLYMPTON,1055500
WEST TORRENS,RICHMOND,1035000
WEST TORRENS,THEBARTON,907000
WEST TORRENS,TORRENSVILLE,1011000
WEST TORRENS,UNDERDALE,1070000
WEST TORRENS,WEST BEACH,1290000
WEST TORRENS,WEST RICHMOND,763500
